dataset_name,ref,longitudinal,hmdb_annotated_compounds,kegg_annotated_compounds,num_paired_samples,cohort_description
YACHIDA_CRC_2019,8,No,407,431,347,"Patients with colonoscopy findings from normal to stage 4 CRC, and controls"
FRANZOSA_IBD_2019,9,No,199,174,220,IBD patients and controls (PRISM cohort) 
SINHA_CRC_2016,21,No,352,189,131,CRC patients and controls 
HE_INFANTS_MFGM_2019,14,Yes,118,111,277,Infants on different diets during their 1st year of life
iHMP_IBDMDB_2019,15,Yes,455,276,389,HMP2 (iHMP) cohort: Longitudinal samples from IBD patients and controls
JACOBS_IBD_2016,16,No,36,27,90,IBD patients and their first degree (healthy) relatives
POYET_BIO_ML_2019,20,Yes,255,223,164,Longitudinal samples from healthy BIO- ML (stool bank) donors
ERAWIJANTARI_GC_2020,13,No,462,505,96,"Patients with a history of gastrectomy for GC, and controls"
KIM_ADENOMAS,18,No,358,262,240,"Patients with advanced colorectal adenomas, CRC, and controls"
MARS_IBS_2020,19,Yes,40,36,455,Longitudinal samples from patients with IBS and controls
KANG_AUTISM_2018,17,No,58,57,44,Children with autism and neurotypical children
KOSTIC_INFANTS_T1D_2015,10,Yes,138,130,103,Longitudinal samples from children at risk for T1D (DIABIMMUNE cohort)
WANDRO_PRETERMS_2018,22,Yes,198,199,75,Preterm infants during their first 6 months of life. Some developed LOS/NEC
WANG_ESRD_2020,23,No,148,87,287,Adults with ESRD and controls 
